id	title	appearance	mechanism	attack	story	prompt_en
chispa	불씨 점검공	주근깨 많은 성인 여성 견습공. 높이 묶은 곱슬 적발, 이마에 큰 둥근 고글, 주황 작업 멜빵바지. 한쪽 팔뚝만 덮는 두꺼운 내열 장갑, 허리에는 총구가 크게 벌어진 짧은 점화총.	점화총 옆의 큼직한 부싯돌 바퀴와 작은 연료병이 탄 한 발의 출처다. 반동 받는 팔만 두껍게 보호한다.	점화 바퀴를 엄지로 돌림 → 팔을 펴 단발 화염탄 → 빈 약실을 열고 연료 캡슐 삽입. 적중 시 점화.	대피소 취사장의 불을 처음 되살린 견습공. 작은 화력이라도 꺼지지 않게 돌보는 것이 자기 일이다.	Petite adult female ignition mechanic apprentice, many freckles, bright curly red hair in a high ponytail, oversized round goggles on forehead, orange work overalls over a crimson shirt. ONE oversized heatproof gauntlet on right forearm. Short flared-muzzle brass ignition pistol in an open holster outside left thigh, large exposed flint wheel and tiny red fuel bottle attached. Sturdy short work boots, bright expressive confident face, modest practical equipment.
solana	신호불 궁수	목이 길고 날씬한 성인 여성. 위로 길게 솟은 붉은 머리매듭, 삼각 금속 귀덮개, 짧은 진홍 승마 재킷. 태양 반원 같은 황동 활과 끝이 주황 캡슐인 굵은 신호 화살.	활의 반원 열선이 화살 캡슐에 불을 붙인다. 허리의 세 연료 구획이 세 번의 점화 뒤 폭발을 시각화한다.	화살촉을 활의 점화턱에 스침 → 가슴 높이로 당겨 발사 → 불붙은 적에게 추가 적중하면 축적 연료가 폭발.	폭풍에 끊긴 대피 항로를 신호탄으로 이어 준 궁수. 가장 멀리 보이는 불이 가장 안전한 길이던 때를 기억한다.	Slender long-necked adult female signal-flare archer, tall red topknot, triangular brass ear guards, cropped crimson riding jacket with orange panels, fitted trousers and flat riding boots. Distinctive SUN-SEMICIRCLE brass bow strapped vertically outside left thigh, orange heating wire inside curved limb. Thick signal arrows with large orange capsule tips in a side quiver, three red fuel compartments on belt. Alert elegant face, clear open silhouette.
ceniza	재선 청소부	넓고 낮은 체형의 중년 여성. 짧은 회색 머리와 얼굴을 드러낸 단정한 인상, 무릎 길이의 벽돌색 내열 앞치마. 허리에는 검은 재통, 옆구리에는 커다란 납작 술이 달린 사슬솔.	열을 품은 금속 술과 재통이 채찍의 끝·연료다. 얼굴 전체를 가리지 않아 성격이 읽힌다.	상체를 낮추고 사슬솔을 바닥으로 쓸어 보냄 → 낮은 잿불 파동 → 바닥의 잔불이 지속 피해와 점화를 남김.	불탄 거리에서 길을 치우던 청소반장. 살아 있는 사람이 지나갈 한 줄을 남기기 위해 싸운다.	Short broad middle-aged female ash sweeper, cropped gray hair, white dust respirator covering mouth only with visible kind eyes. Brick-red heatproof knee-length apron over orange workwear, reinforced thick boots. Large black ash canister fixed at hip, heavy chain BRUSH with a broad flattened tassel of copper metal bristles neatly coiled and secured outside opposite thigh. Heat shields on shins, soot confined to hems, bright readable material colors.
igni	열선 절단검사	각진 턱, 뒤로 빗은 검붉은 머리의 날렵한 남성. 허리 위에서 끝나는 빨간 작업 재킷, 커다란 한쪽 황동 어깨판. 넓고 곧은 도검의 등쪽에는 굵은 붉은 열선 하나.	손잡이의 방아쇠를 잡으면 열선이 칼날 전체를 가열한다. 어깨판은 횡베기 뒤로 튀는 불꽃을 막는다.	검을 몸 뒤로 빼며 열선 점등 → 허리를 돌려 크게 횡베기 → 부채형 화염 참격과 짧은 잔불 선.	무너진 전차 문을 절단해 승객을 꺼내던 검사. 허세 섞인 인사 뒤에는 늘 탈출로부터 확인한다.	Lean athletic adult male thermal cutting swordsman, angular jaw, slicked-back dark red hair, cropped vivid red work jacket, ONE large brass shoulder heat shield, fitted charcoal trousers with orange seams. Broad straight saber in an open rigid sheath secured vertically outside left leg, ONE thick glowing-red heating cable along the blade spine, trigger grip visible. Asymmetric protective armor, practical boots, slightly cocky smile.
volcan	지열 파쇄장	짧게 뻗친 검은 머리, 넓은 코와 검은 수염의 매우 큰 남성. 둥근 용광로 배갑, 목 뒤 짧은 굴뚝 두 개, 손보다 몇 배 큰 직육면체 황동 주먹 두 개. 진홍 작업복과 돌처럼 두꺼운 무릎 보호구.	등 보일러가 팔의 피스톤을 밀고, 네모난 주먹의 바닥 노즐이 지면에 열을 주입한다.	두 팔을 들어 피스톤 잠금 → 무릎을 굽혀 양 주먹을 내리찍음 → 전방 균열을 따라 불길이 순서대로 솟음.	지하 난방관을 놓던 공사 책임자. 붕괴된 지하도에 공기를 넣기 위해 처음으로 땅을 공격했다.	Enormous bald adult male geothermal demolition foreman, broad nose, short black beard, round furnace belly armor, TWO short chimney pipes behind neck. Two gigantic rectangular brass piston gauntlets, several times larger than hands, with heat nozzles on lower faces. Crimson industrial coveralls, orange boiler windows, stone-thick knee guards and broad work boots. Very broad square industrial silhouette, friendly stubborn human face.
carmen	쌍화구 기동수	곱슬 검은 머리를 두 갈래 짧게 묶은 성인 여성. 활달한 표정, 붉은 짧은 볼레로와 부채처럼 갈라진 방열판 허리 장식. 허리 양옆에 굵은 쌍권총, 양쪽 허벅지에 주황 탄창.	쌍권총이 번갈아 열을 내보내고 허리 방열판이 한 발씩 펴진다. 프릴처럼 보이는 형태 자체가 냉각 장치다.	양팔을 번갈아 뻗어 속사 → 방열판이 좌우 교대로 열림 → 과열 때 두 총을 바깥으로 꺾어 증기 배출.	피난 행렬의 옆길을 혼자 막던 호위대원. 사람들이 발걸음을 멈추지 않도록 총성을 일정하게 맞춘다.	Athletic adult female dual-pistol escort, lively face, curly black hair in two short side bunches, cropped red bolero over orange protective bodice, fitted riding trousers. Fan-shaped COPPER COOLING FINS around hips like a short mechanical ruffle, two chunky crimson pistols secured in open outer-thigh holsters, orange ammunition magazines strapped to both thighs. Compact heat vents, sturdy boots, energetic elegant industrial fantasy design.
saeta	유성 신호장	키 크고 마른 장년 여성, 긴 검은 머리를 낮게 묶음. 얼굴을 드러낸 주황 관측 후드, 깔때기형 어깨 보호구. 등에 높게 솟은 대형 신호 로켓통, 다리 옆에는 길고 굽은 중궁.	화살 대신 소형 신호 로켓을 얹는 활 받침이 크고 두껍다. 등 로켓통의 캡과 화살촉이 같은 형상이다.	시선을 위로 올리고 중궁을 높게 당김 → 무거운 불화살을 포물선으로 발사 → 떨어진 곳에 원형 화상 장판.	산간 역에서 밤하늘에 구조 좌표를 올리던 관측관. 밝은 궤적을 보면 아직 구조를 기다리는 사람이 있다는 뜻이다.	Very tall slender mature female meteor-flare observer, long black hair tied low, orange observation hood pushed back revealing face, funnel-shaped copper shoulder guards, red long split field coat. SIX tall signal-rocket tubes mounted visibly above back, broad orange rocket caps. Long heavy recurved brass bow strapped vertically outside leg with a wide rocket cradle at grip. Observation lenses at belt, solid flat boots, vigilant serious eyes.
candela	방화륜 수도사	민머리의 건장한 장년 여성. 짧은 진홍 수도 작업복, 그을린 금색 목가리개, 허리를 둘러싼 큰 여덟 칸 버너 링. 링 한쪽에 둥글게 감긴 굵은 쇠사슬과 방염 장갑.	허리 버너가 사슬을 통과시켜 점화한다. 원형 링과 굽 없는 넓은 신발이 회전 공격을 지지한다.	사슬을 버너에 스쳐 점화 → 한 발을 축으로 몸통 회전 → 자기 주변 360도 화염 고리, 원위치로 복귀.	성당 급식소 화덕을 지키던 수도사. 자신을 중심으로 안전한 원을 만들고 사람들을 그 안으로 부른다.	Sturdy mature bald female firebreak nun-engineer, warm stern human face, short crimson monastic work tunic over orange padded trousers, scorched gold gorget. Huge EIGHT-SEGMENT brass burner ring around waist, heavy iron chain coiled neatly and fastened on one side of ring, heatproof gloves. Broad flat pivot-friendly boots, compact sleeves leaving elbows articulated. Circular mechanical waist silhouette and bold red-gold palette.
estoque	한점 용해기사	길고 마른 장년 남성, 짧은 흰 콧수염, 한쪽 눈의 붉은 조준 렌즈. 투우복처럼 짧고 몸에 붙는 진홍 갑옷, 오른쪽 어깨에서 팔목까지 길게 뻗은 가속 피스톤. 매우 길고 가는 창검.	굵은 손잡이 뒤 가속 피스톤과 바늘 같은 칼끝이 한 점에 열을 모은다. 망토 대신 팔의 긴 직선이 특징이다.	한쪽 발을 깊게 빼고 검끝 조준 → 피스톤을 펴며 한 걸음 찌르기 → 얇고 긴 관통 열선. 복귀 때 피스톤 재압축.	두꺼운 피난문을 최소한의 절단면으로 열던 공병 기사. 큰 불로 주변까지 태우지 않고 필요한 한 점만 녹인다.	Tall wiry mature male precision heat-lance knight, short white mustache, one red targeting monocle, fitted cropped crimson armor reminiscent of a matador jacket, restrained gold seams. A LONG brass acceleration piston runs from right shoulder to wrist, slender needle-like thrusting sword secured vertically outside left leg, oversized heat-insulated grip, tiny red-hot point. Long straight engineering silhouette, close-fitting trousers and riding boots, disciplined expression.
brasa	사람을 품는 노심	큰 덩치의 장년 여성, 짧은 흰 머리, 짙은 눈썹. 가슴의 둥근 주황 노심 창, 등을 둘러싼 크게 펼쳐지는 꽃잎 모양 용광로 문, 무릎 길이 진홍 방열 외투. 양손에는 두툼한 잠금 손잡이 장갑.	등의 큰 방열문과 가슴의 노심이 연결된다. 장갑을 맞물리면 모든 문이 한 번에 열리는 긴급 배기 구조다.	발을 넓게 고정하고 양손 잠금을 누름 → 등 방열문 동시 개방 → 바닥 방향의 원형 화염 폭발과 불바다. 배기 뒤 문을 다시 닫음.	첫 대피소의 보일러를 지키던 수석 기관사. 강력한 수호자의 기록에도 사람을 데우던 본래 목적이 남아 있다.	Massive broad mature female legendary furnace guardian, short white hair, thick eyebrows, reassuring human face. Monumental crimson and brass armored heatproof coat to knees, large round ORANGE REACTOR WINDOW on chest. SIX enormous petal-shaped solid furnace doors arranged behind torso like a mechanical flower, dark red outer panels and orange ceramic inner edges, all closed at rest. Thick locking-handle gauntlets, huge anchored boots, majestic functional silhouette, fully clothed.
lind	서리줄 견습	마른 성인 남성, 코를 드러내는 짧은 흰 목도리, 삐죽한 민트 머리. 두툼한 하늘색 누빔 조끼에 가는 팔다리. 허리의 커다란 육각 릴과 굵은 얼음 마디가 달린 짧은 사슬.	육각 릴이 사슬 마디를 차게 만든다. 몸은 작아도 끝의 투명한 세 마디가 타격 지점을 분명히 보여 준다.	팔꿈치를 접어 사슬을 당김 → 짧게 앞으로 후려침 → 세 얼음 마디가 연달아 닿아 결빙을 쌓음.	빙고 창고 문을 잠그던 막내 관리인. 서리줄을 쳐 물자가 굴러 떨어지는 것을 막던 기술을 적에게 쓴다.	Thin lanky adult male frost-line apprentice, spiky mint hair, short cream scarf leaving nose and face visible, bulky pale blue quilted vest, slim limbs, silver-blue work trousers. Large HEXAGONAL reel on belt holding a short metal chain with THREE chunky translucent ice segments at its end, neatly docked outside hip. Frostproof mitt cuffs with fingers visible, small sturdy boots, earnest angular face.
jokull	빙판 개척검사	흰 수염이 턱을 네모나게 감싼 거구 남성. 북극곰처럼 둥근 후드, 넓은 백청색 어깨, 작은 은색 눈. 한쪽 다리 바깥의 넓은 삽날형 빙검, 정강이에 세로 얼음날.	삽날처럼 넓은 검 바닥이 냉각액을 퍼뜨린다. 정강이의 얼음날은 빙판에서 자세를 고정하는 지지대다.	검을 어깨 위로 올림 → 대각선으로 길게 베며 냉각액 방출 → 지나간 선에 넓은 빙판 감속 구역.	겨울 산길에 구조 통로를 내던 개척대원. 넘어질 사람을 위해 미끄러운 길에도 반드시 발 디딜 곳을 남긴다.	Enormous adult male ice-path pioneer, square white beard, round polar-bear-like padded hood, very broad pale cyan shoulders, small silver eyes. Wide SPADE-SHAPED ice greatsword secured vertically outside left leg, broad flat translucent blue blade with coolant channels. Three vertical ice crampon fins on each shin, quilted silver-blue exploration suit, giant boots, warm rugged face, clean chunky silhouette.
vidarr	동결 말뚝공	짧은 갈색 머리의 과묵한 거인, 작은 귀와 네모난 턱. 한쪽 장화가 허벅지 폭만 한 사각 압착기이고 반대쪽은 보통 장화. 등에 큼직한 흰 냉각 탱크, 푸른 호스가 거대한 장화로 내려간다.	큰 장화 밑면의 방사형 노즐이 냉기를 땅으로 밀어 넣는다. 다리 크기의 비대칭이 발구르기를 예고한다.	큰 무릎을 가슴 쪽으로 들며 탱크 압축 → 바닥을 세게 밟음 → 전방 부채꼴 동결 지대. 반대발로 균형 회복.	붕괴 직전의 교각 아래를 얼려 대피 시간을 벌었다. 말 대신 자기 발이 버티는 곳을 가리킨다.	Huge bald adult male cryogenic foundation worker, square jaw, small ears, quiet human face. EXTREME ASYMMETRY: left boot is an enormous square industrial cold-stamping press as wide as his thigh, right boot normal sized. Large white-and-cyan cooling tank on back, thick turquoise hose visibly descending to giant boot. Pale blue insulated overalls, compact upper body armor, bare articulated hands. Heavy blocky silhouette grounded on both feet.
kari	백무 산탄수	작은 체구의 성인 여성, 짧게 자른 백금 머리, 이마의 넓은 방한 고글. 얼굴은 노출하고 목에 짧은 필터 마스크. 각진 하늘색 재킷과 커다란 이중 냉기 총구, 허리의 서리 캡슐 세 병.	나란한 두 총구 안에 다공성 분사판이 있다. 넓은 총구 형태가 단일 저격이 아닌 산탄임을 보여 준다.	총을 가슴 높이에 붙여 겨눔 → 양 총구를 동시에 열어 냉기 산탄 → 짧은 부채꼴 다중 적중과 결빙 중첩.	냉동 창고 연무 속에서 길을 찾던 경비원. 보이지 않는 적을 무작정 쫓지 않고 가까운 공간부터 확보한다.	Compact adult female white-fog shotgun guard, short platinum cropped hair, wide ski goggles pushed onto forehead, face clearly visible, short filter mask resting at neck. Angular sky-blue cropped insulated jacket, three frosty coolant canisters on belt. Large TWIN WIDE-MOUTH cryogenic shotgun secured upright in an open rigid outer-thigh carrier, perforated frost-blue muzzle plates, silver metal body. Thick knee pads, short snow boots, focused practical appearance.
eira	눈송이 추적궁수	길고 유연한 체형의 여성, 땋은 흰 머리 끝 두 갈래, 뾰족한 여우 귀 모양 방한 모자. 허리까지 짧은 백청 망토. 육각 눈송이 고리가 박힌 활, 부채로 접히는 화살촉.	활 중앙의 육각 틀에서 눈 결정 화살촉을 만든다. 화살촉 여섯 장이 펼쳐져 작은 눈보라의 범위를 만든다.	화살촉을 육각 틀에 대어 결정 생성 → 활시위를 귀까지 당겨 발사 → 착탄 후 여섯 조각이 돌아 작은 눈보라.	설원에서 실종자의 발자국을 찾던 추적자. 적의 발도 눈 위에서 오래 멈추게 만든다.	Tall flexible adult female snow-trail archer, white hair in two long braids, pointed fox-ear-shaped pale blue winter cap, short white-blue capelet ending at waist. Beautiful silver bow with a large HEXAGONAL SNOWFLAKE ring at its grip, strapped vertically outside left side, broad folding six-petal arrowheads in side quiver. Fitted cyan ranger clothing, fur-trimmed flat boots, clear alert face, no animal companion.
snorri	빙쇄 인양장	둥근 얼굴과 굵은 금발 콧수염의 살집 있는 남성. 어깨보다 배가 넓은 하늘색 방한복, 등 위의 큰 인양 도르래, 양 허리의 굵은 체인 휠. 끝이 닻처럼 벌어진 얼음 사슬.	등 도르래와 양 허리 윈치가 사슬을 회수한다. 닻 모양 끝은 때리는 것뿐 아니라 끌어당기는 용도를 드러낸다.	사슬 닻을 낮게 던지듯 휘두름 → 얼음 고리가 적에게 걸림 → 몸을 뒤로 젖히며 윈치 회수, 짧은 당김과 서리 파동.	얼음에 갇힌 짐과 사람을 함께 끌어올리던 인양공. 무거울수록 웃으며 다른 사람부터 손을 놓게 한다.	Round stout adult male ice-salvage winch master, broad friendly face, thick blond mustache, sky-blue insulated snowsuit wider at belly than shoulders. ONE large salvage pulley rising behind head, two heavy silver chain wheels at hips, thick ice-segment chain neatly coiled with a broad ANCHOR-SHAPED ice hook docked beside right thigh. Oversized grippy snow boots, brass crank handles, cheerful robust industrial fantasy character.
helga	교차 빙벽기사	넓은 턱과 짧게 땋은 백발의 근육질 여성. 좌우로 갈라진 은청 갑옷, 등에 X자 냉각 프레임. 허벅지 바깥 양쪽에 똑같은 쐐기형 빙검 두 자루.	두 검과 등 X자 프레임이 같은 교차 구조를 공유한다. 검 두 자루가 있어 X자 이중 참격을 몸동작으로 납득시킨다.	양손 검을 양쪽 어깨로 들음 → 교대로 대각선 두 번 베기 → 두 냉기 참격이 교차한 지점에서 파편 폭발.	빙벽 사이 좁은 통로를 맡았던 방패대장. 두 손으로 길의 양쪽을 막는 기술을 검으로 이어 받았다.	Muscular adult female cross-ice knight, broad jaw, short white braids, silver-and-cyan segmented armor split into two clean halves. Rigid X-SHAPED cooling frame visibly rising behind shoulders. TWO matching wedge-shaped translucent ice swords in open scabbards secured vertically outside both thighs. Broad articulated shoulder plates, short armored skirt panels over trousers, steel snow boots, composed battle-scarred human face.
sigrid	육각 설풍 설계사	매우 키가 크고 곧은 여성, 짧은 은발과 수평 눈썹. 아래로 갈수록 넓어지는 백청 코트. 등 뒤 육각형 냉각 프레임, 양 어깨에 날카로운 터빈 덮개, 손목에 원반형 풍향 조절기.	등 다각 프레임에 장착된 대형 터빈이 냉기를 순환시킨다. 치마처럼 갈라진 코트 패널도 공기 통로를 비운다.	손목 원반을 바깥으로 돌림 → 등 터빈 네 개 가동 → 지정 구역의 회전 눈보라. 마지막에 터빈을 급정지시켜 얼음 파편 방출.	붕괴한 냉각탑의 바람길을 다시 설계한 공학자. 사람이 숨 쉴 공간만큼은 얼리지 않도록 제어한다.	Very tall upright adult female snowstorm architect, short silver hair, straight brows, elegant pale cyan flared engineering coat with separated geometric panels. Huge HEXAGONAL cooling frame behind her, six angular turbine housings at its corners, visible above and beside shoulders. Circular wind-direction controller discs attached to wrists. Silver insulation piping, fitted blue trousers and grounded boots. Precise symmetrical architectural silhouette, face uncovered.
